"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Blockchain and NFTs for Trusted Ownership, Trading, and Access of AI Models","A. Battah; M. Madine; I. Yaqoob; K. Salah; H. R. Hasan; R. Jayaraman","Department of Electrical Engineering and Computer Science, Khalifa University, Abu Dhabi, United Arab Emirates; Department of Electrical Engineering and Computer Science, Khalifa University, Abu Dhabi, United Arab Emirates; Department of Electrical Engineering and Computer Science, Khalifa University, Abu Dhabi, United Arab Emirates; Department of Electrical Engineering and Computer Science, Khalifa University, Abu Dhabi, United Arab Emirates; Department of Electrical Engineering and Computer Science, Khalifa University, Abu Dhabi, United Arab Emirates; Department of Industrial and Systems Engineering, Khalifa University, Abu Dhabi, United Arab Emirates",IEEE Access,"28 Oct 2022","2022","10","","112230","112249","The demand for high-quality Artificial Intelligence (AI) models is ever-increasing in this digital era. However, most of the existing methods leveraged for managing the ownership, trading, and access of AI models fall short of providing traceability, transparency, audit, security, and trustful features. In this paper, we propose a solution based on blockchain and Non-fungible Tokens (NFTs) to manage ownership rights and exchange of AI models in a transparent, traceable, auditable, secure, and trustworthy manner. Smart contracts are employed to enforce ownership, ease of access, and exchange policies for the unique NFT linked to an AI model. We use decentralized storage of the InterPlanetary File System (IPFS) and proxy re-encryption oracles to securely fetch, store, and share data related to AI models. We present algorithms along with their implementation, testing, and validation details. The proposed solution is evaluated using cost and security analyses to show its affordability and resiliency against security threats and attacks. All smart contract codes are made publicly available on GitHub.","2169-3536","","10.1109/ACCESS.2022.3215660","Khalifa University of Science and Technology(grant numbers:RCII-2019-002–Center for Digital Supply Chain and Operations Management,CIRA-2019-001); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9924181","Blockchain;decentralized storage;non-fungible tokens (NFTs);oracles;provenance;proxy re-encryption;smart contracts","Artificial intelligence;Data models;Collaboration;Security;Computational modeling;Smart contracts;Data privacy;Blockchains;Nonfungible tokens","","33","","54","CCBY","19 Oct 2022","","","IEEE","IEEE Journals"
"Accuracy and Fairness in Pupil Detection Algorithm","O. N. Kulkarni; V. Patil; V. K. Singh; P. K. Atrey","Albany Lab for Privacy and Security, College of Engineering and Applied Sciences University at Albany, State University of New York, Albany, USA; Albany Lab for Privacy and Security, College of Engineering and Applied Sciences University at Albany, State University of New York, Albany, USA; Rutgers University, USA; Albany Lab for Privacy and Security, College of Engineering and Applied Sciences University at Albany, State University of New York, Albany, USA",2021 IEEE Seventh International Conference on Multimedia Big Data (BigMM),"17 Dec 2021","2021","","","17","24","Despite being highly accurate, widely used multimedia analysis algorithms can suffer from bias, affecting users’ trust in them. For instance, algorithms for face recognition, pedestrian detection, and image search have recently been reported to be biased. In this paper, we move the discussion on algorithmic fairness to a new domain, namely, pupil detection. We audit a widely used OpenCV algorithm for pupil detection from the perspective of fairness and accuracy. The algorithm is audited using two different datasets: a single-person image dataset (CelebA), and a group image dataset (Images of Groups). In both datasets, we found the OpenCV pupil detection algorithm to provide reasonably high accuracy but also yield statistically significant bias with respect to gender. The results provide the first empirical evidence for the existence of gender bias in pupil detection algorithms in both single person as well as group image settings. These results could have a deleterious impact on downstream multimedia applications such as identity authentication, attention assessment, and e-learning. Finally, we discuss the process of appropriately choosing the pupil detection algorithm parameters that may help reduce bias while maintaining high accuracy in various multimedia applications.","","978-1-6654-3414-0","10.1109/BigMM52142.2021.00011","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9643325","Algorithms;Accuracy;Algorithmic Fairness;Face Detection;Gaze Tracking;Computer Vision;Pupil Detection;Machine Learning;Statistical Analysis","Electronic learning;Face recognition;Conferences;Employment;Education;Authentication;Big Data","","2","","51","IEEE","17 Dec 2021","","","IEEE","IEEE Conferences"
"Enhancing Trust Through Standards: A Comparative Risk-Impact Framework for Aligning ISO AI Standards with Global Ethical and Regulatory Contexts","S. Sankaran","Research and Innovation Group, Tata Consultancy Services, Chennai, India","2025 International Conference on Artificial Intelligence, Computer, Data Sciences and Applications (ACDSA)","24 Sep 2025","2025","","","1","9","As artificial intelligence (AI) continues to reshape economies and societies, building trust in these systems—by addressing bias, opacity, and accountability—remains a global challenge. ISO standards such as ISO/IEC 24027 and 24368 aim to embed fairness, explainability, and risk control into AI development. However, their effectiveness varies across legal and policy landscapes, including the EU’s risk-tiered AI Act, China’s focus on social stability, and the U.S.’s decentralized regulatory model. This study introduces a Comparative Risk-Impact Assessment Framework to evaluate how well ISO standards mitigate ethical AI risks across these diverse environments and offers recommendations to enhance their global relevance. By aligning ISO provisions with the EU AI Act and analyzing AI governance in twelve jurisdictions—including the UK, Canada, India, Japan, Singapore, South Korea, Brazil, and South Africa— we establish a comparative baseline for ethical alignment. Case studies from the EU, Colorado, and China reveal key shortcomings: ISO compliance often lacks enforceability (e.g., Colorado) and fails to accommodate local values, such as China’s emphasis on privacy and data sovereignty. To address these issues, we recommend mandatory ethical risk audits, region-specific annexes to ISO standards, and an integrated privacy-risk module. Our framework offers a scalable method for harmonizing AI governance with ethical standards, synthesizing global regulatory trends while allowing for local adaptation. These insights support regulators and standards bodies in refining ISO’s role in global AI oversight, enabling more consistent and context-sensitive deployment of trustworthy AI systems worldwide.","","979-8-3315-3562-9","10.1109/ACDSA65407.2025.11166403","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11166403","AI Standardization;Trustworthy AI;Regulatory frameworks;Risk assessment;Ethical AI","Ethics;Privacy;Systematics;Regulators;ISO Standards;ISO;Stability criteria;Refining;Risk management;Artificial intelligence","","","","60","IEEE","24 Sep 2025","","","IEEE","IEEE Conferences"
"Embracing the Crowd: Robust Federated Learning for Edge Intelligence","D. Yu; Z. Xie; X. Zhang; Y. Yuan; Y. Zou; X. Cheng","School of Computer Science and Technology, Shandong University, Qingdao, China; School of Computer Science and Technology, Shandong University, Qingdao, China; School of Computer Science and Technology, Shandong University, Qingdao, China; School of Software & Joint SDU-NTU Centre for Artificial Intelligence Research (C-FAIR), Shandong University, China; School of Computer Science and Technology, Shandong University, Qingdao, China; School of Computer Science and Technology, Shandong University, Qingdao, China",2024 International Conference on Meta Computing (ICMC),"9 Jul 2025","2024","","","259","266","With the rapid growth of edge intelligence, federated learning technologies have received a great deal of attention. Compared with traditional centralized machine learning based on cloud computing, federated learning in edge environment uses mobile edge devices to cooperatively train machine learning models. However, computational ability and transmission conditions are also varied among FL participants. Thus, robustness is one of the key issues for FL in edge scenarios. This article aims to focus on robust federated learning from the following four aspects: resilience to data variability and distribution, fault tolerance, preserving training performance against various attacks and proactive audit function. In this article, we provide an overview of the development history of federated learning for edge intelligence, and we gradually introduce it from three aspects: distributed machine learning, federated learning, and distributed federated learning. Then, in view of the threat problem of robust federated learning, relevant work is studied from three aspects: noisy data, noisy communication, and targeted and untargeted attacks. Then, relevant research is conducted on the building robust and reliable FL on the edge, focusing on three aspects: robust estimation, benefits against targeted and untargeted attacks, and cryptographic audits. Finally, we discuss the future directions and open problems for federated learning.","","979-8-3503-5599-4","10.1109/ICMC60390.2024.00035","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11062771","Federated learning;Edge intelligence;Robustness","Training;Privacy;Federated learning;Smart healthcare;Fault tolerant systems;Focusing;Robustness;Noise measurement;History;Resilience","","","","54","IEEE","9 Jul 2025","","","IEEE","IEEE Conferences"
"Is My Data in Your AI? Membership Inference Test (MINT) Applied to Face Biometrics","D. DeAlcala; A. Morales; J. Fierrez; G. Mancera; R. Tolosana; J. Ortega-Garcia","Universidad Autónoma de Madrid, Madrid, Spain; Universidad Autónoma de Madrid, Madrid, Spain; Universidad Autónoma de Madrid, Madrid, Spain; Universidad Autónoma de Madrid, Madrid, Spain; Universidad Autónoma de Madrid, Madrid, Spain; Universidad Autónoma de Madrid, Madrid, Spain",IEEE Access,"23 Sep 2025","2025","13","","163805","163819","This article introduces the Membership Inference Test (MINT), a novel approach that aims to empirically assess if given data was used during the training of AI/ML models. Specifically, we propose two MINT architectures designed to learn the distinct activation patterns that emerge when an Audited Model is exposed to data used during its training process. These architectures are based on Multilayer Perceptrons (MLPs) and Convolutional Neural Networks (CNNs). The experimental framework focuses on the challenging task of Face Recognition, considering three state-of-the-art Face Recognition systems. Experiments are carried out using six publicly available databases, comprising over 22 million face images in total. Different experimental scenarios are considered depending on the context of the AI model to test. Our proposed MINT approach achieves promising results, with up to 90% accuracy, indicating the potential to recognize if an AI model has been trained with specific data. The proposed MINT approach can serve to enforce privacy and fairness in several AI applications, e.g., revealing if sensitive or private data was used for training or tuning Large Language Models (LLMs).","2169-3536","","10.1109/ACCESS.2025.3608951","Project BBforTAI through MICINN/FEDER(grant numbers:PID2021-127641OB-I00); Project HumanCAIC through MICINN(grant numbers:TED2021-131787B-I00); Project M2RAI through MICIU/FEDER(grant numbers:PID2024-160053OB-I00); Project Cátedra ENIA UAM-VERIDAS (NextGenerationEU PRTR)(grant numbers:TSI-100927-2023-2); ELLIS Unit Madrid; FPU Fellowship from Spanish MIU(grant numbers:FPU21/05785); Madrid Government (Comunidad de Madrid-Spain) through the Multiannual Agreement with Universidad Autónoma de Madrid in the line of Excellence for the University Teaching Staff in the context of V PRICIT (Regional Program of Research and Technological Innovation); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11159206","Audit;fairness;face recognition;membership inference;MIA;MINT;reliability","Artificial intelligence;Training;Data models;Face recognition;Training data;Databases;Vectors;Regulation;Glass box;Data privacy","","1","","93","CCBYNCND","11 Sep 2025","","","IEEE","IEEE Journals"
"Risks to Financial Inclusion by Anti-Money Laundering and Financial Counterterrorism Algorithms","K. Grillaert; J. Scarpino","Ethoscope, Managing Partner, Milwaukee, Wisconsin; TrustEngine, VP Information Security Assessed Intelligence, CEO, Canton, Ohio","2025 IEEE International Symposium on Ethics in Engineering, Science, and Technology (ETHICS)","4 Aug 2025","2025","","","1","5","This paper examines the risks that anti-money laundering and countering the financing of terrorism algorithms pose to financial inclusion. Artificial intelligence can enhance the detection of illicit financial activity, yet it may also perpetuate existing biases, leading to the disproportionate exclusion of dis-advantaged groups. Federated learning expands dataset diversity and preserves privacy, but it also introduces challenges related to transparency, fairness, and bias in AI -driven financial compliance systems, requiring mitigation strategies aligned with financial inclusion.","2996-3648","979-8-3315-3228-4","10.1109/ETHICS65148.2025.11098437","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11098437","artificial intelligence;financial services;feder-ated learning;ethics;bias;auditing","Ethics;Data privacy;Systematics;Federated learning;Terrorism;Prevention and mitigation;Current measurement;Transforms;Learning (artificial intelligence);Financial services","","","","29","IEEE","4 Aug 2025","","","IEEE","IEEE Conferences"
"AI Algorithms for Personalized Reproductive Health Treatment Plans","L. Anggraini; V. Wildan; F. N. Azizah; R. Supriati; M. Madani; R. F. Terizla","Dept. of Midwifery, University of Yarsi Pratama, Tangerang, Indonesia; Dept. of Midwifery, University of Yarsi Pratama, Tangerang, Indonesia; Dept. of Midwifery, University of Yarsi Pratama, Tangerang, Indonesia; Faculty of Informatics Engineering, University of Raharja, Tangerang, Indonesia; Faculty of Computer System, University of Raharja, Tangerang, Indonesia; Informatics Engineering, Rey Incorporation, San Diego, USA",2025 4th International Conference on Creative Communication and Innovative Technology (ICCIT),"24 Sep 2025","2025","","","1","6","The integration of Artificial Intelligence (AI) in reproductive healthcare has ushered in a new era of personalized medicine, offering more accurate and tailored treatment strategies for conditions such as infertility, Polycystic Ovary Syndrome (PCOS), and pregnancy related complications. This study investigates the role of AI algorithms in creating personalized treatment plans aimed at improving reproductive health outcomes. Using a quantitative approach, data from 150 patients across three fertility clinics were analyzed using Partial Least Squares Structural Equation Modeling (PLS-SEM). The study focused on four key variables Data Quality, Algorithm Sophistication, Treatment Success, and Patient Satisfaction. The findings reveal that high-quality data and sophisticated AI algorithms significantly influence treatment success and patient satisfaction, with AI-driven approaches yielding superior outcomes compared to traditional methods. Specifically, advanced AI models like deep learning outperformed simpler algorithms, resulting in higher success rates. Ethical considerations, including mitigating algorithmic bias and ensuring data privacy, were addressed through stratified sampling and fairness audits. The results underscore the importance of leveraging high quality data and advanced AI models to enhance reproductive health treatments. This work provides actionable insights for healthcare providers, emphasizing the need for improved data management and AI integration to optimize patient outcomes. Future research should explore the long-term impacts of AI in reproductive healthcare and address challenges related to model generalization and patient engagement.","","979-8-3315-9429-9","10.1109/ICCIT65724.2025.11166786","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11166786","Augmented Reality;Digital Banking;User Engagement;Usability;Structural Equation Modeling","Deep learning;Ethics;Data privacy;Data integrity;Infertility;Medical services;Prediction algorithms;Mathematical models;Data models;Artificial intelligence","","","","50","IEEE","24 Sep 2025","","","IEEE","IEEE Conferences"
"gMINT: Gradiant-based Membership Inference Test Applied to Image Models","D. DeAlcala; A. Morales; J. Fierrez; G. Mancera; R. Tolosana","Biometrics and Data Pattern Analytics Lab, Universidad Autonoma de Madrid, Spain; Biometrics and Data Pattern Analytics Lab, Universidad Autonoma de Madrid, Spain; Biometrics and Data Pattern Analytics Lab, Universidad Autonoma de Madrid, Spain; Biometrics and Data Pattern Analytics Lab, Universidad Autonoma de Madrid, Spain; Biometrics and Data Pattern Analytics Lab, Universidad Autonoma de Madrid, Spain",2025 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),"15 Sep 2025","2025","","","2772","2781","Membership Inference Test (MINT) is a method designed to determine whether specific data samples were used during model training. This paper explores the use of gradient based information for MINT (gMINT). In particular, we take advantage of the gradient updates applied to each weight during the learning process, which we refer to as Weight Modifiers. We systematically analyze different types of Weight Modifiers and propose various approaches to process them effectively. Our experiments are carried out on multiple state-of-the-art architectures and four benchmark datasets, demonstrating that our method achieves near perfect detection (100% in most scenarios). These results highlight the effectiveness of Weight Modifiers as a key cue for Membership Inference, further advancing the field of model auditing and privacy assessment in AI systems.","2160-7516","979-8-3315-9994-2","10.1109/CVPRW67362.2025.00261","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11147874","studies of xai for cv and related topics (e.g.;fairness;transparency;interpretability;trust);applications of xai for cv","Training;Data privacy;Computer vision;Conferences;Computational modeling;Training data;Computer architecture;Data models;Pattern recognition;Artificial intelligence","","","","49","IEEE","15 Sep 2025","","","IEEE","IEEE Conferences"
"IEEE Standard for the Procurement of Artificial Intelligence and Automated Decision Systems","",,IEEE Std 3119-2025,"22 May 2025","2025","","","1","177","The standard helps procurement teams reduce risks in artificial intelligence systems (AIS) by using tailored risk management practices when purchasing AIS. Specific process steps for AIS problem definition, solicitation preparation, vendor and solution evaluation, contract negotiation, and contract monitoring are described. Risk management methodologies that augment customary activities and tasks performed during the procurement life cycle are provided including identifying, analyzing, evaluating, prioritizing, mitigating, and controlling unique AIS risks that can detract from unique AIS benefits. How procurement teams can use and apply practical AIS tools and metrics is also provided. The standard focuses explicitly on AIS risks (when compared to traditional, non-AIS technology) and is designed to address the purchase of commercial AI products and services procured using a formal contract or contract framework.","","979-8-8557-2201-7","10.1109/IEEESTD.2025.11011522","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11011522","ADS;AI;AIS;AI performance;AI solution evaluation;AI systems;AI vendor evaluation;artificial intelligence;acquisition;automated decision systems;commercial AI products and services;contract monitoring;contract negotiation;data;data governance;due diligence;high-risk;human rights;IEEE 3119;impact assessment;metrics;procurement;public engagement;public interest;responsible AI;responsible procurement;risk assessment;risk identification;risk management;risk mitigation;sociotechnical;solicitation;systems;technology","IEEE Standards;Artificial intelligence;Data governance;Social implications of technology;Human factors;Decision making;Automation;Procurement;Contracts;Commercialization","","","","84","","22 May 2025","","","IEEE","IEEE Standards"
"Benchmark Dataset Dynamics, Bias and Privacy Challenges in Voice Biometrics Research","C. Rusti; A. Leschanowsky; C. Quinlan; M. Pnacekova; L. Gorce; W. T. Hutiri","University of Southern California, United States; Fraunhofer IIS, Germany; University of Toronto, Canada; York University, Canada; Open North, Canada; Delft University of Technology, The Netherlands",2023 IEEE International Joint Conference on Biometrics (IJCB),"1 Mar 2024","2023","","","1","10","Speaker recognition is a widely used voice-based biometric technology with applications in various industries, including banking, education, recruitment, immigration, law enforcement, healthcare, and well-being. However, while dataset evaluations and audits have improved data practices in face recognition and other computer vision tasks, the data practices in speaker recognition have gone largely unquestioned. Our research aims to address this gap by exploring how dataset usage has evolved over time and what implications this has on bias, fairness and privacy in speaker recognition systems. Previous studies have demonstrated the presence of historical, representation, and measurement biases in popular speaker recognition benchmarks. In this paper, we present a longitudinal study of speaker recognition datasets used for training and evaluation from 2012 to 2021. We survey close to 700 papers to investigate community adoption of datasets and changes in usage over a crucial time period where speaker recognition approaches transitioned to the widespread adoption of deep neural networks. Our study identifies the most commonly used datasets in the field, examines their usage patterns, and assesses their attributes that affect bias, fairness, and other ethical concerns. Our findings suggest areas for further research on the ethics and fairness of speaker recognition technology.","2474-9699","979-8-3503-3726-6","10.1109/IJCB57857.2023.10449225","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10449225","","Training;Surveys;Ethics;Data privacy;Benchmark testing;Speaker recognition;Task analysis","","1","","44","IEEE","1 Mar 2024","","","IEEE","IEEE Conferences"
"Auditing saliency cropping algorithms","A. Birhane; V. U. Prabhu; J. Whaley",University College Dublin & Lero; UnifyID Labs; UnifyID Labs,2022 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV),"15 Feb 2022","2022","","","1515","1523","In this paper, we audit saliency cropping algorithms used by Twitter, Google and Apple to investigate issues pertaining to the male-gaze cropping phenomenon as well as race-gender biases that emerge in post-cropping survival ratios of face-images constituting 3 × 1 grid images. In doing so, we present the first formal empirical study which suggests that the worry of a male-gaze-like image cropping phenomenon on Twitter is not at all far-fetched and it does occur with worryingly high prevalence rates in real-world full-body single-female-subject images shot with logo-littered backdrops. We uncover that while all three saliency cropping frameworks considered in this paper do exhibit acute racial and gender biases, Twitter’s saliency cropping framework uniquely elicits high male-gaze cropping prevalence rates. In order to facilitate reproducing the results presented here, we are open-sourcing both the code and the datasets that we curated at shorturl.at/iuzK9. We hope the computer vision community and saliency cropping researchers will build on the results presented here and extend these investigations to similar frameworks deployed in the real world by other companies such as Microsoft and Facebook.","2642-9381","978-1-6654-0915-5","10.1109/WACV51458.2022.00158","Science Foundation Ireland; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9706880","Explainable AI;Fairness;Accountability;Privacy and Ethics in Vision Datasets;Evaluation and Comparison of Vision Algorithms;Deep Learning;Human-Computer Interaction;Segmentation;Grouping and Shape","Computer vision;Codes;Social networking (online);Blogs;Companies;Internet","","7","","27","IEEE","15 Feb 2022","","","IEEE","IEEE Conferences"
"Blockchain-Based Privacy-Preserving and Sustainable Data Query Service Over 5G-VANETs","L. -Y. Yeh; N. -X. Shen; R. -H. Hwang","Department of Information Management, National Central University, Taoyuan, Taiwan; Department of Computer Science Information Engineering, National Chung Cheng University, Chiayi, Taiwan; Department of Computer Science Information Engineering, National Chung Cheng University, Chiayi, Taiwan",IEEE Transactions on Intelligent Transportation Systems,"14 Sep 2022","2022","23","9","15909","15921","Intelligent Transport Systems (ITSs) play an important role in future smart city design to improve traffic safety and traffic congestion by sharing data collected by vehicles. For sharing the traffic data with other vehicles, the vehicular sensory data are usually uploaded to the cloud server. However, existing data sharing systems for VANETs cannot provide selective data with sufficient privacy protection. Moreover, some schemes also cannot ensure stable data accessibility and the integrity of retrieved data. On the other hand, with the improvements such as lower latency, higher capacity, and increased bandwidth, 5G technology brings more possibilities to future applications. The join of the software-defined networks (SDNs) also offers efficient and effective network management. This paper proposes a primitive vehicular communication system named blockchain-based privacy-preserving and sustainable data query service. The proposed scheme is designed to realize stable data accessibility by leveraging smart contracts and blockchain oracle. With the help of 5G technology and P2P file-sharing system, InterPlanetary File System (IPFS), the proposed scheme aims to support video downloading files with searchable capability and fairness. An incentive token mechanism is also equipped. The merit of auditability is ensured by Ethereum blockchain platform to support the accountability. Besides, we also evaluate its networking performance via SUMO and NS-3 simulators. Our simulation results show that the request-response delay of BPSDQS is less than existing blockchain-based proxy re-encryption (PRE) scheme. Our simulation results also showed that the average request-response delay in our scheme can saving up to 98%.","1558-0016","","10.1109/TITS.2022.3146322","Ministry of Science and Technology of Taiwan, R.O.C.(grant numbers:MOST 108-2221-E-194-019-MY3,MOST 108-2221-E-008-100-MY3,MOST 110-2218-E415-001-MBK); Advanced Institute of Manufacturing with High-tech Innovations (AIM- HI) from The Featured Areas Research Center Program within the framework of the Higher Education Sprout Project; Ministry of Education (MOE) in Taiwan; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9703241","Vehicular ad-hoc network (VANET);blockchain;software defined network (SDN);proxy re-encryption;InterPlanetary File System (IPFS)","Blockchains;Streaming media;5G mobile communication;Cryptography;Smart contracts;Servers;Encryption","","42","","33","IEEE","3 Feb 2022","","","IEEE","IEEE Journals"
"Estimating Example Difficulty using Variance of Gradients","C. Agarwal; D. D'souza; S. Hooker","MDSR Lab, Adobe; ML Collective; Google Research",2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),"27 Sep 2022","2022","","","10358","10368","In machine learning, a question of great interest is understanding what examples are challenging for a model to classify. Identifying atypical examples ensures the safe de-ployment of models, isolates samples that require further human inspection and provides interpretability into model behavior. In this work, we propose Variance of Gradients (VoG) as a valuable and efficient metric to rank data by difficulty and to surface a tractable subset of the most chal-lenging examples for human-in-the-loop auditing. We show that data points with high VoG scores are far more difficult for the model to learn and over-index on corrupted or mem-orized examples. Further, restricting the evaluation to the test set instances with the lowest VoG improves the model's generalization performance. Finally, we show that VoG is a valuable and efficient ranking for out-of-distribution detection.","2575-7075","978-1-6654-6946-3","10.1109/CVPR52688.2022.01012","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9879352","Transparency;fairness;accountability;privacy and ethics in vision","Measurement;Ethics;Computer vision;Computational modeling;Machine learning;Inspection;Human in the loop","","37","","73","IEEE","27 Sep 2022","","","IEEE","IEEE Conferences"
"The Role of AI in Healthcare Policy Development and Management","S. Yadav; P. Mane; V. K. Swarnkar; S. k. Rawandale; A. S. Patil; K. S. Katke; N. Bhat","Entrepreneurship Mindset Curriculum, State Council of Educational Research and Training, Delhi; Bharati Vidyapeeth (Deemed to be University), Institute of Management and Entrepreneurship Development, Pune; Department of Computer Science & Engineering, Bharti Vishwavidyalaya, Durg, Chhattisgarh; Dean Industry Institute Interaction, PCET's Pimpri Chinchwad College of Engineering, Pune, Maharashtra, India; E&TC department, JSPM NTC, Pune; Department of Computer Engineering, Sanjivani College of engineering Kopergaon Ahmednagar; Software Developer, Master of Science, california state university long beach, CA, USA",2023 International Conference on Artificial Intelligence for Innovations in Healthcare Industries (ICAIIHI),"15 Apr 2024","2023","1","","1","6","This study looks at how artificial intelligence (AI) is incorporated into healthcare policy, with an emphasis on how it affects administrative procedures, treatment optimization, especially clinical choice support. Using a deductive methodology and interpretive thinking as a philosophy, an exploratory design with secondary data collecting was used. In the present-day environment, AI is being used more frequently in healthcare legislation, especially within medical settings. Clinical decision-making systems driven by AI have shown to offer a great promise for lowering diagnostic mistakes and increasing treatment precision. Improving patient outcomes through individualized AI-driven treatments for treatment improvement appears promising. But there are issues with algorithm prejudices as well as information privacy, among other ethical and legal issues. Establishing thorough guidelines, ongoing education, and auditing procedures are among the suggestions that are made. In order to guarantee fair and efficient integration of health care legislation, future research should prioritize longitudinal research and improving artificial intelligence algorithms","","979-8-3503-3091-5","10.1109/ICAIIHI57871.2023.10489810","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10489810","Artificial Intelligence;Healthcare Policy;Clinical Decision Support;Treatment Optimization;Ethical Considerations","Industries;Technological innovation;Privacy;Philosophical considerations;Law;Legislation;Medical services","","1","","30","IEEE","15 Apr 2024","","","IEEE","IEEE Conferences"
"Blockchain-Based Anti-Key-Leakage Key Aggregation Searchable Encryption for IoT","J. Niu; X. Li; J. Gao; Y. Han","School of Mathematics and Statistics, Xidian University, Xi’an, China; School of Mathematics and Statistics, Xidian University, Xi’an, China; School of Telecommunication and Engineering, Xidian University, Xi’an, China; School of Mathematics and Statistics, Xidian University, Xi’an, China",IEEE Internet of Things Journal,"11 Feb 2020","2020","7","2","1502","1518","The Internet of Things (IoT) makes our life more intelligent. Its combination with the cloud server can solve big data processing problems to meet users' needs and bring us great convenience. However, there are two challenges we need to face: data sharing and key leakage. To solve the above challenges, attribute-based encryption (ABE) is used to achieve data sharing combined with searchable encryption (SE). Most of the existing attribute-based searchable encryption (SE) schemes are inefficient and not suitable for IoT devices because of the large amount of attributes and keys. The key-leakage problem is serious in practice which very little literature focused on it. In order to address both problems, in this article, we propose a key aggregation searchable encryption (KASE) scheme based on the blockchain with auxiliary input (AI), which is capable of achieving secure data sharing on the encrypted data. Our scheme is presented through a novel chosen plaintext attack (CPA) secure scheme. We prove our scheme is chosen ciphertext attack (CCA) secure against key leakage under the decisional Diffie-Hellman assumption and Goldreich-Leivin theorem. Moreover, we adopt the proposed scheme to establish a data-sharing system based on blockchain, which improves search efficiency and connects the global ecology. In addition, extensive performance evaluations are conducted, and the results indicate our scheme is really efficient in cloud-computing-enhanced IoT.","2327-4662","","10.1109/JIOT.2019.2956322","Guangxi Key Laboratory of Cryptography and Information Security(grant numbers:GCIS201802); National Basic Research Program of China (973 Program)(grant numbers:2016YFB0800601); National Natural Science Foundation of China(grant numbers:61303217,61502372); Natural Science Foundation of Shaanxi Province(grant numbers:2013JQ8002,2014JQ8313); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8915860","Blockchain;chosen ciphertext attack (CCA) secure;cloud computing;data sharing;key leakage;outsourcing","Encryption;Cloud computing;Internet of Things;Aggregates","","49","","41","IEEE","27 Nov 2019","","","IEEE","IEEE Journals"
